"SAMPLE_ID","STATUS","STATUS_DATE","REMARK"
65102,"NO_BLOOM","11/12/2019",
65103,"NO_BLOOM","08/01/2019",
65104,"NO_BLOOM","08/16/2019",
65105,"NO_BLOOM","08/30/2019",
65106,"NO_BLOOM",,
65107,"NO_BLOOM",,
65108,"NO_BLOOM","11/12/2019",
65109,"NO_BLOOM","07/10/2019",
65110,"NO_BLOOM","07/26/2019",
65111,"NO_BLOOM","08/07/2019",
65112,"NO_BLOOM","08/21/2019",
65113,"NO_BLOOM","09/05/2019",
65114,"NO_BLOOM","11/12/2019",
65115,"NO_BLOOM","07/10/2019",
65116,"NO_BLOOM","11/12/2019",
65117,"NO_BLOOM","08/07/2019",
65118,"NO_BLOOM","08/21/2019",
65119,"NO_BLOOM","08/30/2019",
65120,"NO_BLOOM","09/12/2019",
65121,"NO_BLOOM","09/25/2019",
65122,"NO_BLOOM","11/12/2019",
65123,"NO_BLOOM","11/12/2019",
65124,"NO_BLOOM","07/03/2019",
65125,"NO_BLOOM","07/17/2019",
65126,"NO_BLOOM","08/01/2019",
65127,"NO_BLOOM","08/16/2019",
65128,"NO_BLOOM","09/05/2019",
65129,"NO_BLOOM","09/26/2019",
65130,"NO_BLOOM","11/12/2019",
65131,"NO_BLOOM","07/11/2019",
65132,"NO_BLOOM","07/26/2019",
65133,"NO_BLOOM","08/16/2019",
65134,"NO_BLOOM","08/30/2019",
65135,"NO_BLOOM","09/20/2019",
65136,"NO_BLOOM","10/02/2019",
65137,,,
65138,"NO_BLOOM","11/12/2019",
65139,"NO_BLOOM","11/12/2019",
65140,"NO_BLOOM","07/11/2019",
65141,"NO_BLOOM","07/26/2019",
65143,"NO_BLOOM","08/07/2019",
65144,"NO_BLOOM","08/21/2019",
65145,"NO_BLOOM","09/05/2019",
65146,"NO_BLOOM","09/18/2019",
65142,"CONFIRMED","07/26/2019",
65147,,,
65148,,,
65149,,,
65150,,,
65151,,,
65152,,,
65153,,,
65154,,,
65155,,,
65158,"NO_BLOOM","06/21/2019",
65160,"NO_BLOOM","07/08/2019",
65162,"NO_BLOOM","11/12/2019",
65163,"NO_BLOOM","08/01/2019",
65164,"NO_BLOOM","08/15/2019",
65166,"NO_BLOOM","08/29/2019",
65168,"NO_BLOOM","09/12/2019",
65170,"NO_BLOOM","09/25/2019",
65156,"CONFIRMED_WITH_HIGH_TOXINS","10/18/2019",
65157,"CONFIRMED_WITH_HIGH_TOXINS","06/19/2019",
65159,"CONFIRMED","06/28/2019",
65161,"CONFIRMED","07/08/2019",
65165,"CONFIRMED_WITH_HIGH_TOXINS","08/15/2019",
65167,"CONFIRMED_WITH_HIGH_TOXINS","08/29/2019",
65167,"NO_BLOOM",,
