LakeID,FIN,County,WATER,Alternate_Name,Lake_Proj_Code_Ref::LAKE_PROJ_CODE,Beaches,PWS,Waterbody_Classification,WaterClassPartNo,Dam Class,M_BAS_NAME,BASIN_NAME,M_BASIN_ID,BasinSub,ACRES,SHORELINE_,AREA,LEN,P#,PWLID,_8_Digit_HUC,DATE_ADDED,Waterbody_Type,Chla_PWS
0905OSB0060,SL-25-13-1-2-P60,St Lawrence,Osborn Lake,,,No,No,C,910-1247,,St. Lawrence River Basin,Oswegatchie River,9,905,17.99 ,0.73 ,72806 ,1167.31 ,60,0905-0118,,,Lake,10
0905COW0327,SL-25-P309-12-1-P327,St Lawrence,Cowhorn Pond,,,No,No, ,910-1608,,St. Lawrence River Basin,Oswegatchie River,9,905,21.74 ,1.64 ,87973 ,2638.72 ,327,0905-0037,,,Lake,
0905IND0325,SL-25-P309-11C-P325,St Lawrence,Indian Mountain Pond,,,No,No, ,910-1608,,St. Lawrence River Basin,Oswegatchie River,9,905,11.77 ,1.01 ,47624 ,1620.02 ,325,0905-0037,,,Lake,
0905DRY0136,SL-25-73-19-5-3-P136,St Lawrence,Dry Timber Lake,,,No,No,CT,910-1380,,St. Lawrence River Basin,Oswegatchie River,9,905,21.87 ,0.91 ,88520 ,1469.51 ,136,0905-0032,,,Lake,10
0905CRY0289,SL-25-101-24-5-P285-A-P289,St Lawrence,Crystal Lake,,,No,No,CT,910-1559,,St. Lawrence River Basin,Oswegatchie River,9,905,14.51 ,0.64 ,58733 ,1032.68 ,289,0905-0030,,,Lake,10
0905CRA0309,SL-25-P309,St Lawrence,Cranberry Lake,,,Yes,Yes,AT,910-1589,,St. Lawrence River Basin,Oswegatchie River,9,905,6795.19 ,79.94 ,27499275 ,128647.82 ,309,0905-0007,,,Lake,6
0903SLE0363,SL-25-P362-1-P363,St Lawrence,Slender Pond,,,No,No,CT,910-727,,St. Lawrence River Basin,Raquette River,9,903,12.69 ,0.74 ,51365 ,1186.38 ,363,0905-0005,,,Lake,10
0905CLE0361,SL-25-131-P361,St Lawrence,Clear Pond,,,No,No, ,910-1616,,St. Lawrence River Basin,Oswegatchie River,9,905,16.60 ,0.80 ,67176 ,1292.57 ,361,0905-0005,,,Lake,
0905GLA0358,SL-25-128-P358,St Lawrence,Glasby Pond,,,No,No, ,910-1617,,St. Lawrence River Basin,Oswegatchie River,9,905,11.82 ,0.55 ,47823 ,880.82 ,358,0905-0005,,,Lake,
0905CUR0313,SL-25-P309-9-2-P313,St Lawrence,Curtis Pond,,,No,No, ,910-1600,,St. Lawrence River Basin,Oswegatchie River,9,905,17.01 ,0.71 ,68837 ,1136.96 ,313,0905-0004,,,Lake,
0905DOG0316,SL-25-P309-9-P316,St Lawrence,Dog Pond,,,No,No, ,910-1598,,St. Lawrence River Basin,Oswegatchie River,9,905,24.45 ,1.17 ,98938 ,1881.42 ,316,0905-0004,,,Lake,
0905BAS0330,SL-25-P309-12-P330,St Lawrence,Bassout Pond,,,No,No, ,910-1608,,St. Lawrence River Basin,Oswegatchie River,9,905,24.23 ,0.93 ,98061 ,1500.11 ,330,0905-0002,,,Lake,
0905CAT0329,SL-25-P309-12-3-P329,St Lawrence,Cat Mountain Pond,,,No,No, ,910-1608,,St. Lawrence River Basin,Oswegatchie River,9,905,20.13 ,0.86 ,81444 ,1381.06 ,329,0905-0002,,,Lake,
0905BUC0343,SL-25-124-1-P343,St Lawrence,Buck Pond,,,No,No, ,910-1616,,St. Lawrence River Basin,Oswegatchie River,9,905,9.65 ,0.58 ,39042 ,940.26 ,343,0905-0001,,,Lake,
